UID,composite_ID,test,congruence,theta,se_theta,Age,Age_c,TSVR_hours,recip_TSVR,log_TSVR
A024,A024_1,1,Common,0.41629925,0.1962873223365104,29.0,-15.57,1.0,0.5,0.6931471805599453
A024,A024_2,2,Common,0.16924852,0.1962873223365104,29.0,-15.57,29.57,0.03271180896303565,3.420019135902743
A024,A024_3,3,Common,0.1597057,0.1962873223365104,29.0,-15.57,91.47,0.010814318157240186,4.526884267589547
A024,A024_4,4,Common,-0.92016464,0.1962873223365104,29.0,-15.57,145.65,0.006818956699624957,4.9880487954234605
A025,A025_1,1,Common,1.3860037,0.1962873223365104,26.0,-18.57,1.0,0.5,0.6931471805599453
A025,A025_2,2,Common,1.3983331,0.1962873223365104,26.0,-18.57,23.33,0.04110152075626799,3.1917101567954314
A025,A025_3,3,Common,-0.60741305,0.1962873223365104,26.0,-18.57,72.94,0.01352447930754666,4.303253953508486
A025,A025_4,4,Common,-0.2785447,0.1962873223365104,26.0,-18.57,137.74,0.00720772668300418,4.932601677957155
A026,A026_1,1,Common,0.46583936,0.1962873223365104,29.0,-15.57,1.0,0.5,0.6931471805599453
A026,A026_2,2,Common,-0.6492574,0.1962873223365104,29.0,-15.57,26.48,0.036390101892285295,3.3134584673541485
A026,A026_3,3,Common,0.53066975,0.1962873223365104,29.0,-15.57,75.46,0.013078733978550878,4.336767728268267
A026,A026_4,4,Common,-0.24492168,0.1962873223365104,29.0,-15.57,147.65,0.006727211570803902,5.001594549444107
A027,A027_1,1,Common,0.16586939,0.1962873223365104,28.0,-16.57,1.0,0.5,0.6931471805599453
A027,A027_2,2,Common,0.39497662,0.1962873223365104,28.0,-16.57,28.26,0.034176349965823645,3.3762213955919784
A027,A027_3,3,Common,-0.28117114,0.1962873223365104,28.0,-16.57,74.58,0.013231013495633766,4.325191697921343
A027,A027_4,4,Common,-0.5017699,0.1962873223365104,28.0,-16.57,145.92,0.006806425265450586,4.989888220951467
A028,A028_1,1,Common,1.5246681,0.1962873223365104,26.0,-18.57,1.0,0.5,0.6931471805599453
A028,A028_2,2,Common,-0.05649298,0.1962873223365104,26.0,-18.57,22.82,0.041981528127623846,3.170525563927154
A028,A028_3,3,Common,-0.29285774,0.1962873223365104,26.0,-18.57,72.26,0.01365001365001365,4.294014757350668
A028,A028_4,4,Common,-0.8199109,0.1962873223365104,26.0,-18.57,138.91,0.007147451933385748,4.940999358745194
A029,A029_1,1,Common,2.1297944,0.1962873223365104,25.0,-19.57,1.0,0.5,0.6931471805599453
A029,A029_2,2,Common,0.2633854,0.1962873223365104,25.0,-19.57,28.43,0.03397893306150187,3.382014562245381
A029,A029_3,3,Common,0.59773153,0.1962873223365104,25.0,-19.57,93.26,0.010608953957139825,4.546056921495585
A029,A029_4,4,Common,0.7445269,0.1962873223365104,25.0,-19.57,143.14,0.006937699458859443,4.970785049496295
A030,A030_1,1,Common,0.26681468,0.1962873223365104,31.0,-13.57,1.0,0.5,0.6931471805599453
A030,A030_2,2,Common,0.6206771,0.1962873223365104,31.0,-13.57,32.95,0.02945508100147275,3.5248888540047054
A030,A030_3,3,Common,0.26908645,0.1962873223365104,31.0,-13.57,71.93,0.01371177841766077,4.289500076996142
A030,A030_4,4,Common,0.2812115,0.1962873223365104,31.0,-13.57,150.46,0.006602403274792024,5.020321563685677
A031,A031_1,1,Common,1.4706349,0.1962873223365104,32.0,-12.57,1.0,0.5,0.6931471805599453
A031,A031_2,2,Common,0.32438183,0.1962873223365104,32.0,-12.57,32.41,0.0299311583358276,3.508855256368665
A031,A031_3,3,Common,0.38665065,0.1962873223365104,32.0,-12.57,71.56,0.013781697905181918,4.2844138058068815
A031,A031_4,4,Common,-1.0031985,0.1962873223365104,32.0,-12.57,143.85,0.0069036934760096655,4.975698724215359
A032,A032_1,1,Common,0.82081884,0.1962873223365104,33.0,-11.57,1.0,0.5,0.6931471805599453
A032,A032_2,2,Common,-0.60881156,0.1962873223365104,33.0,-11.57,57.18,0.017188037126160193,4.063541653067055
A032,A032_3,3,Common,0.47702068,0.1962873223365104,33.0,-11.57,80.16,0.01232134056185313,4.396422514957614
A032,A032_4,4,Common,1.7664504,0.1962873223365104,33.0,-11.57,144.51,0.0068723799051611575,4.980244812772187
A033,A033_1,1,Common,-0.4666309,0.1962873223365104,32.0,-12.57,1.0,0.5,0.6931471805599453
A033,A033_2,2,Common,-0.5709601,0.1962873223365104,32.0,-12.57,29.16,0.033156498673740056,3.4065165431397553
A033,A033_3,3,Common,0.934703,0.1962873223365104,32.0,-12.57,72.6,0.013586956521739132,4.298645025734831
A033,A033_4,4,Common,-0.24082223,0.1962873223365104,32.0,-12.57,168.33,0.005905628063544557,5.131849473677249
A034,A034_1,1,Common,1.3387271,0.1962873223365104,33.0,-11.57,1.0,0.5,0.6931471805599453
A034,A034_2,2,Common,1.1189219,0.1962873223365104,33.0,-11.57,26.08,0.03692762186115214,3.298795448044074
A034,A034_3,3,Common,-0.46482885,0.1962873223365104,33.0,-11.57,74.28,0.013283740701381509,4.3212144952771245
A034,A034_4,4,Common,0.049237438,0.1962873223365104,33.0,-11.57,145.38,0.006831534362617844,4.986205980173081
A035,A035_1,1,Common,-0.80652094,0.1962873223365104,34.0,-10.57,1.0,0.5,0.6931471805599453
A035,A035_2,2,Common,1.1643237,0.1962873223365104,34.0,-10.57,44.76,0.021853146853146856,3.8234103470715426
A035,A035_3,3,Common,-0.59551436,0.1962873223365104,34.0,-10.57,79.98,0.012348728081007655,4.394202210604015
A035,A035_4,4,Common,-0.8755717,0.1962873223365104,34.0,-10.57,152.47,0.006515931452401121,5.033505108187003
A036,A036_1,1,Common,0.74764776,0.1962873223365104,30.0,-14.57,1.0,0.5,0.6931471805599453
A036,A036_2,2,Common,-0.5022708,0.1962873223365104,30.0,-14.57,21.63,0.04418912947414936,3.119276459645446
A036,A036_3,3,Common,-0.018576257,0.1962873223365104,30.0,-14.57,71.47,0.013798813302056023,4.28317268312119
A036,A036_4,4,Common,-1.1207412,0.1962873223365104,30.0,-14.57,143.85,0.0069036934760096655,4.975698724215359
A037,A037_1,1,Common,1.6113735,0.1962873223365104,31.0,-13.57,1.0,0.5,0.6931471805599453
A037,A037_2,2,Common,1.1598858,0.1962873223365104,31.0,-13.57,23.7,0.04048582995951417,3.2068032436339315
A037,A037_3,3,Common,-0.4739782,0.1962873223365104,31.0,-13.57,72.08,0.013683634373289545,4.291554731509806
A037,A037_4,4,Common,0.41819012,0.1962873223365104,31.0,-13.57,143.66,0.006912760956726116,4.974386161421135
A038,A038_1,1,Common,1.078226,0.1962873223365104,32.0,-12.57,1.0,0.5,0.6931471805599453
A038,A038_2,2,Common,-0.3119291,0.1962873223365104,32.0,-12.57,71.85,0.013726835964310227,4.288402532641213
A038,A038_3,3,Common,1.2023473,0.1962873223365104,32.0,-12.57,72.86,0.013539128080151638,4.3021714094244174
A038,A038_4,4,Common,0.5360858,0.1962873223365104,32.0,-12.57,152.89,0.006498148027812074,5.0362380614757605
A039,A039_1,1,Common,2.113206,0.1962873223365104,31.0,-13.57,1.0,0.5,0.6931471805599453
A039,A039_2,2,Common,0.72722864,0.1962873223365104,31.0,-13.57,28.65,0.03372681281618887,3.3894621254437345
A039,A039_3,3,Common,0.6532409,0.1962873223365104,31.0,-13.57,98.84,0.01001602564102564,4.603568904621118
A039,A039_4,4,Common,-0.19232592,0.1962873223365104,31.0,-13.57,246.24,0.004044652968775279,5.510359524791073
A040,A040_1,1,Common,-1.5618265,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A040,A040_2,2,Common,-0.31991416,0.1962873223365104,38.0,-6.57,26.26,0.036683785766691124,3.3054204262683866
A040,A040_3,3,Common,-1.1753646,0.1962873223365104,38.0,-6.57,71.28,0.01383508577753182,4.280547465724028
A040,A040_4,4,Common,-0.6841468,0.1962873223365104,38.0,-6.57,143.53,0.006918978758735211,4.97348709846075
A041,A041_1,1,Common,1.2749807,0.1962873223365104,35.0,-9.57,1.0,0.5,0.6931471805599453
A041,A041_2,2,Common,-1.0111216,0.1962873223365104,35.0,-9.57,31.78,0.03050640634533252,3.4898185733156835
A041,A041_3,3,Common,-0.52210444,0.1962873223365104,35.0,-9.57,75.74,0.013031013812874642,4.340423084818807
A041,A041_4,4,Common,0.22386456,0.1962873223365104,35.0,-9.57,141.84,0.007000840100812097,4.961725122726247
A042,A042_1,1,Common,-0.38919944,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A042,A042_2,2,Common,-0.94573104,0.1962873223365104,38.0,-6.57,28.93,0.03341129301703976,3.3988613218646075
A042,A042_3,3,Common,-0.60165393,0.1962873223365104,38.0,-6.57,72.17,0.013666803334700014,4.292785500895938
A042,A042_4,4,Common,-0.919106,0.1962873223365104,38.0,-6.57,146.02,0.006801795674057951,4.9905686319459415
A043,A043_1,1,Common,1.0159061,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A043,A043_2,2,Common,0.23345459,0.1962873223365104,38.0,-6.57,25.62,0.037565740045078885,3.2816628129669656
A043,A043_3,3,Common,-0.1154044,0.1962873223365104,38.0,-6.57,64.94,0.015165301789505611,4.188745237643585
A043,A043_4,4,Common,0.06730463,0.1962873223365104,38.0,-6.57,149.33,0.006652032195835827,5.012832877639743
A044,A044_1,1,Common,-0.021611089,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A044,A044_2,2,Common,0.33177772,0.1962873223365104,38.0,-6.57,47.66,0.020550760378133994,3.8848573373553763
A044,A044_3,3,Common,-1.3885521,0.1962873223365104,38.0,-6.57,91.63,0.010795638562020943,4.5286130632659365
A044,A044_4,4,Common,-0.6907909,0.1962873223365104,38.0,-6.57,155.27,0.00639918090484418,5.0515852804252095
A045,A045_1,1,Common,-0.8811096,0.1962873223365104,37.0,-7.57,1.0,0.5,0.6931471805599453
A045,A045_2,2,Common,0.25599375,0.1962873223365104,37.0,-7.57,24.66,0.03897116134060795,3.2449333591874905
A045,A045_3,3,Common,0.28792378,0.1962873223365104,37.0,-7.57,72.23,0.013655605626109518,4.2936051730729785
A045,A045_4,4,Common,-0.73880816,0.1962873223365104,37.0,-7.57,151.52,0.006556517178075006,5.027295734989363
A046,A046_1,1,Common,-0.8263327,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A046,A046_2,2,Common,-1.0503073,0.1962873223365104,38.0,-6.57,24.32,0.03949447077409163,3.2315945972759756
A046,A046_3,3,Common,-1.6721164,0.1962873223365104,38.0,-6.57,73.05,0.013504388926401082,4.304740540713808
A046,A046_4,4,Common,-1.5642638,0.1962873223365104,38.0,-6.57,147.94,0.006714113065664026,5.003543540282499
A047,A047_1,1,Common,0.032663453,0.1962873223365104,36.0,-8.57,1.0,0.5,0.6931471805599453
A047,A047_2,2,Common,0.31397206,0.1962873223365104,36.0,-8.57,23.46,0.04088307440719542,3.1970391302590264
A047,A047_3,3,Common,-1.4813104,0.1962873223365104,36.0,-8.57,76.85,0.012845215157353887,4.354783898280007
A047,A047_4,4,Common,-1.0614867,0.1962873223365104,36.0,-8.57,144.22,0.006886103842445944,4.978249833952101
A048,A048_1,1,Common,1.0506663,0.1962873223365104,38.0,-6.57,1.0,0.5,0.6931471805599453
A048,A048_2,2,Common,-0.6741307,0.1962873223365104,38.0,-6.57,23.91,0.04014452027298274,3.215269329274089
A048,A048_3,3,Common,-0.10325131,0.1962873223365104,38.0,-6.57,81.15,0.012172854534388313,4.408546844483277
A048,A048_4,4,Common,0.48396504,0.1962873223365104,38.0,-6.57,146.3,0.00678886625933469,4.9924713234685845
A049,A049_1,1,Common,1.7571232,0.1962873223365104,35.0,-9.57,1.0,0.5,0.6931471805599453
A049,A049_2,2,Common,-0.60318244,0.1962873223365104,35.0,-9.57,27.12,0.03556187766714082,3.336481066942464
A049,A049_3,3,Common,0.6597407,0.1962873223365104,35.0,-9.57,111.38,0.008898380494749955,4.721885985684052
A049,A049_4,4,Common,0.3402084,0.1962873223365104,35.0,-9.57,168.86,0.005887201224537854,5.134974568351863
A050,A050_1,1,Common,-0.32734805,0.1962873223365104,41.0,-3.5700000000000003,1.0,0.5,0.6931471805599453
A050,A050_2,2,Common,-0.5032114,0.1962873223365104,41.0,-3.5700000000000003,24.73,0.0388651379712398,3.2476576262936527
A050,A050_3,3,Common,-0.91217804,0.1962873223365104,41.0,-3.5700000000000003,93.39,0.010594342621040365,4.547435135336853
A050,A050_4,4,Common,-0.3601759,0.1962873223365104,41.0,-3.5700000000000003,148.69,0.006680472977486807,5.008566488927144
A051,A051_1,1,Common,0.88582057,0.1962873223365104,41.0,-3.5700000000000003,1.0,0.5,0.6931471805599453
A051,A051_2,2,Common,-0.28985074,0.1962873223365104,41.0,-3.5700000000000003,17.16,0.05506607929515418,2.8992213731731473
A051,A051_3,3,Common,-0.6146358,0.1962873223365104,41.0,-3.5700000000000003,65.63,0.015008254539996999,4.199154926574446
A051,A051_4,4,Common,-0.11835715,0.1962873223365104,41.0,-3.5700000000000003,146.99,0.006757213325224677,4.997144703913756
A052,A052_1,1,Common,0.7985213,0.1962873223365104,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A052,A052_2,2,Common,-0.44622117,0.1962873223365104,43.0,-1.5700000000000003,31.76,0.03052503052503052,3.4892082589848687
A052,A052_3,3,Common,-0.017932264,0.1962873223365104,43.0,-1.5700000000000003,80.98,0.01219809709685289,4.406475315076191
A052,A052_4,4,Common,0.04671596,0.1962873223365104,43.0,-1.5700000000000003,153.27,0.006482141699617553,5.038704314023848
A053,A053_1,1,Common,1.12028,0.1962873223365104,44.0,-0.5700000000000003,1.0,0.5,0.6931471805599453
A053,A053_2,2,Common,0.83742,0.1962873223365104,44.0,-0.5700000000000003,32.71,0.029664787896766538,3.5177945292459696
A053,A053_3,3,Common,-0.50420165,0.1962873223365104,44.0,-0.5700000000000003,78.28,0.012613521695257316,4.372985890021733
A053,A053_4,4,Common,-0.45412505,0.1962873223365104,44.0,-0.5700000000000003,148.9,0.0066711140760507,5.009968405108552
A054,A054_1,1,Common,0.18263195,0.1962873223365104,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A054,A054_2,2,Common,0.97050226,0.1962873223365104,43.0,-1.5700000000000003,16.9,0.0558659217877095,2.884800712846709
A054,A054_3,3,Common,0.35355416,0.1962873223365104,43.0,-1.5700000000000003,72.83,0.013544629554381687,4.3017651530710745
A054,A054_4,4,Common,1.2971294,0.1962873223365104,43.0,-1.5700000000000003,136.83,0.00725531451788435,4.926021041706347
A055,A055_1,1,Common,-0.84173906,0.1962873223365104,44.0,-0.5700000000000003,1.0,0.5,0.6931471805599453
A055,A055_2,2,Common,0.4803198,0.1962873223365104,44.0,-0.5700000000000003,23.24,0.041254125412541254,3.1880041612011136
A055,A055_3,3,Common,-1.0578766,0.1962873223365104,44.0,-0.5700000000000003,74.48,0.013248542660307365,4.32386772050035
A055,A055_4,4,Common,-1.1588173,0.1962873223365104,44.0,-0.5700000000000003,149.21,0.006657346381732241,5.012034315009963
A056,A056_1,1,Common,0.57677263,0.1962873223365104,42.0,-2.5700000000000003,1.0,0.5,0.6931471805599453
A056,A056_2,2,Common,-0.4870755,0.1962873223365104,42.0,-2.5700000000000003,33.61,0.02889338341519792,3.544142657647253
A056,A056_3,3,Common,0.41734344,0.1962873223365104,42.0,-2.5700000000000003,71.46,0.013800717637317142,4.283034685466931
A056,A056_4,4,Common,-1.3208041,0.1962873223365104,42.0,-2.5700000000000003,147.84,0.0067186240257995165,5.002871903478422
A057,A057_1,1,Common,-0.6586051,0.1962873223365104,40.0,-4.57,1.0,0.5,0.6931471805599453
A057,A057_2,2,Common,-0.5845993,0.1962873223365104,40.0,-4.57,24.78,0.038789759503491075,3.2495989975110415
A057,A057_3,3,Common,-0.740959,0.1962873223365104,40.0,-4.57,73.83,0.013363624214887078,4.315218874092267
A057,A057_4,4,Common,-1.6140344,0.1962873223365104,40.0,-4.57,145.06,0.006846501437765302,4.984017496191964
A058,A058_1,1,Common,1.2305706,0.1962873223365104,42.0,-2.5700000000000003,1.0,0.5,0.6931471805599453
A058,A058_2,2,Common,-1.1810384,0.1962873223365104,42.0,-2.5700000000000003,22.96,0.041736227045075125,3.1763857732472487
A058,A058_3,3,Common,-0.43858027,0.1962873223365104,42.0,-2.5700000000000003,66.28,0.014863258026159334,4.208863015664693
A058,A058_4,4,Common,-0.59969,0.1962873223365104,42.0,-2.5700000000000003,143.48,0.006921373200442968,4.973141089668675
A059,A059_1,1,Common,0.9413848,0.1962873223365104,43.0,-1.5700000000000003,1.0,0.5,0.6931471805599453
A059,A059_2,2,Common,1.2146442,0.1962873223365104,43.0,-1.5700000000000003,30.4,0.03184713375796178,3.4468078929142076
A059,A059_3,3,Common,1.4220468,0.1962873223365104,43.0,-1.5700000000000003,79.78,0.012379301807378064,4.391729410135267
A059,A059_4,4,Common,0.37158412,0.1962873223365104,43.0,-1.5700000000000003,151.93,0.00653893938403191,5.029980300360032
A060,A060_1,1,Common,-0.41893917,0.1962873223365104,48.0,3.4299999999999997,1.0,0.5,0.6931471805599453
A060,A060_2,2,Common,0.87463915,0.1962873223365104,48.0,3.4299999999999997,24.87,0.038654812524159254,3.2530839961979376
A060,A060_3,3,Common,-0.51012707,0.1962873223365104,48.0,3.4299999999999997,94.68,0.010451505016722408,4.561009290202322
A060,A060_4,4,Common,0.5292025,0.1962873223365104,48.0,3.4299999999999997,143.91,0.006900835001035125,4.976112860057833
A061,A061_1,1,Common,2.0136983,0.1962873223365104,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A061,A061_2,2,Common,0.953521,0.1962873223365104,47.0,2.4299999999999997,35.16,0.02765486725663717,3.5879535355239756
A061,A061_3,3,Common,-0.3127364,0.1962873223365104,47.0,2.4299999999999997,82.55,0.01196888090963495,4.425445255041403
A061,A061_4,4,Common,-0.5812956,0.1962873223365104,47.0,2.4299999999999997,146.56,0.006776904310111141,4.994234872728475
A062,A062_1,1,Common,2.011653,0.1962873223365104,48.0,3.4299999999999997,1.0,0.5,0.6931471805599453
A062,A062_2,2,Common,-0.35419762,0.1962873223365104,48.0,3.4299999999999997,44.69,0.02188662727073758,3.8218794555751803
A062,A062_3,3,Common,-0.97456145,0.1962873223365104,48.0,3.4299999999999997,92.72,0.010670081092616303,4.540311613639595
A062,A062_4,4,Common,-1.426174,0.1962873223365104,48.0,3.4299999999999997,149.18,0.006658676255160474,5.011834574671738
A063,A063_1,1,Common,1.0972812,0.1962873223365104,45.0,0.4299999999999997,1.0,0.5,0.6931471805599453
A063,A063_2,2,Common,0.82705617,0.1962873223365104,45.0,0.4299999999999997,21.98,0.04351610095735422,3.1346242724206097
A063,A063_3,3,Common,0.27556694,0.1962873223365104,45.0,0.4299999999999997,69.99,0.014086491055078181,4.262539022051294
A063,A063_4,4,Common,-0.8945666,0.1962873223365104,45.0,0.4299999999999997,141.09,0.007037792948131466,4.956460659649984
A064,A064_1,1,Common,1.2642903,0.1962873223365104,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A064,A064_2,2,Common,0.73144156,0.1962873223365104,47.0,2.4299999999999997,37.65,0.0258732212160414,3.654546775033431
A064,A064_3,3,Common,0.31989926,0.1962873223365104,47.0,2.4299999999999997,82.99,0.011906179307060364,4.430697744137536
A064,A064_4,4,Common,-0.92497724,0.1962873223365104,47.0,2.4299999999999997,156.21,0.006360918516633802,5.057582491203423
A065,A065_1,1,Common,-1.3171538,0.1962873223365104,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A065,A065_2,2,Common,0.06738905,0.1962873223365104,47.0,2.4299999999999997,32.31,0.030021014710297205,3.5058576522055884
A065,A065_3,3,Common,-1.744844,0.1962873223365104,47.0,2.4299999999999997,106.41,0.009310120100549298,4.676653287609955
A065,A065_4,4,Common,-2.1507194,0.1962873223365104,47.0,2.4299999999999997,187.43,0.005307010560951016,5.238726585134399
A066,A066_1,1,Common,0.52085555,0.1962873223365104,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A066,A066_2,2,Common,-0.2666786,0.1962873223365104,47.0,2.4299999999999997,23.35,0.04106776180698152,3.192531849528599
A066,A066_3,3,Common,-0.3462124,0.1962873223365104,47.0,2.4299999999999997,73.79,0.013370771493515175,4.314684186203576
A066,A066_4,4,Common,-0.95671576,0.1962873223365104,47.0,2.4299999999999997,164.93,0.00602663773880552,5.111566012674697
A067,A067_1,1,Common,0.43133983,0.1962873223365104,48.0,3.4299999999999997,1.0,0.5,0.6931471805599453
A067,A067_2,2,Common,-1.2040907,0.1962873223365104,48.0,3.4299999999999997,29.91,0.03235198964736331,3.431079756144025
A067,A067_3,3,Common,-1.468142,0.1962873223365104,48.0,3.4299999999999997,73.19,0.013478905512872355,4.306629370201435
A067,A067_4,4,Common,-1.2924346,0.1962873223365104,48.0,3.4299999999999997,144.19,0.00688752668916592,4.978043229495596
A068,A068_1,1,Common,1.1973321,0.1962873223365104,49.0,4.43,1.0,0.5,0.6931471805599453
A068,A068_2,2,Common,-0.06428234,0.1962873223365104,49.0,4.43,30.49,0.031756113051762465,3.4496700351129332
A068,A068_3,3,Common,0.9597233,0.1962873223365104,49.0,4.43,82.98,0.011907597046915932,4.430578675256047
